id,subject,grade,topic,LO,diff,question,choiceA,choiceB,choiceC,choiceD,answer,explain
1,Chinese,1,標點,辨識,Easy,"請找出{r}紅色{/r}標示的錯誤標點：我今天好開心, 因為放學了。","逗號（,）",句號（。）,驚嘆號（！）,問號（？）,A,中文應使用全形標點，且此處應為句號。
2,Chinese,1,字詞,近義詞,Easy,把{b}加粗{/b}詞語換成近義詞：「他十分{#8e24aa}高興{/}。」,快樂,悲傷,憤怒,冷靜,A,「高興」的近義詞是「快樂」。
3,Math,1,加法,算式,Easy,{g}3 + 5{/g} 等於幾多？,6,7,8,9,C,3 + 5 = 8。
4,Chinese,1,詞性,辨識,Normal,句子中哪個詞語表示顏色？「小貓有一雙{r}紅色{/r}的鞋。」,小貓,一雙,紅色,鞋,C,「紅色」為顏色詞。
5,Chinese,1,語法,問句,Normal,選出與句子一致的標點：「你回來了{b}嗎{/b}」,你回來了。,你回來了？,你回來了！,"你回來了,",B,疑問句應以問號結尾。
6,Math,1,減法,算式,Easy,{b}9 - 4{/b} 等於幾多？,4,5,6,7,B,9 - 4 = 5。
7,Chinese,1,讀解,細節,Normal,「小狗看見{g}綠色{/g}的球就追過去。」小狗追的是什麼顏色的球？,紅色,綠色,藍色,紫色,B,句中明示為綠色。
8,Chinese,1,標點,句號,Easy,選出正確句子：,"今天下雨了,",今天下雨了。,今天下雨了？,今天下雨了！,B,陳述句應以句號結尾。
9,Math,1,比較,大小,Easy,哪個數較大？{b}7{/b} 或 {b}5{/b},7,5,一樣大,不能比較,A,7 大於 5。
10,Chinese,1,同反義,反義詞,Normal,「熱」的反義詞是什麼？,暖,冷,涼,溫,B,熱 ↔ 冷。
